query,pipeline,metric,value
- we are not such things,baseline,dcg,0.0
1-8x scope,baseline,dcg,11.416508275000202
10 inch bookshelf,baseline,dcg,0.9030899869919436
10 magnetic eyelashes without eyeliner,baseline,dcg,8.160558421703625
10.9 inch ipad case without pencil holder,baseline,dcg,3.493450309756155
108 curtains without grommet,baseline,dcg,0.0
11 x 21 plant trays for seedlings without holes,baseline,dcg,11.416508275000202
11 year old girl gifts,baseline,dcg,0.0
12 month xbox live gold digital,baseline,dcg,0.0
12 v cable,baseline,dcg,0.0
12x20 throw pillow covers set of 2,baseline,dcg,18.561907935387037
144hz gaming monitor,baseline,dcg,0.0
2 be or not 2b,baseline,dcg,0.0
2 pin converter,baseline,dcg,0.0
"2.5"" hdd",baseline,dcg,0.0
20g nose ring hoop,baseline,dcg,0.0
27 in curved monitor,baseline,dcg,7.431244181513954
2k digital picture frame,baseline,dcg,31.804915366618417
3 way faucet,baseline,dcg,15.15264710846717
3-6 months denim overalls,baseline,dcg,12.916508275000202
3-inch drawer pulls natural,baseline,dcg,0.0
32 inch curved monitor,baseline,dcg,12.722705557155543
36 bar stools,baseline,dcg,0.0
3d mink lashes,baseline,dcg,2.3333333333333335
3d printer,baseline,dcg,17.409958584756357
3d printer nozzle,baseline,dcg,7.312783341687686
45 inch smart tv,baseline,dcg,6.207969650641791
4k hdmi switch,baseline,dcg,14.03503778058959
4k tv samsung,baseline,dcg,0.0
5 candle,baseline,dcg,12.038189690738966
55 inch tv wall mount,baseline,dcg,2.3333333333333335
6 ft table cover fitted,baseline,dcg,14.02343375778976
6 hole saw for cornhole boards,baseline,dcg,16.208537949220382
600w power supply 80 plus,baseline,dcg,20.42469449127011
70s outfits for women,baseline,dcg,0.0
7xl lab coat,baseline,dcg,11.416508275000202
a deed without a name,baseline,dcg,28.435845889827636
a veterans christmas,baseline,dcg,0.0
a year without autumn,baseline,dcg,7.0
a. c. bhaktivedanta swami prabhupada,baseline,dcg,17.931244181513954
acrylic magnetic frame,baseline,dcg,17.808629930045814
addidas shoes,baseline,dcg,0.0
adjustable hitch,baseline,dcg,7.9165082750002025
air force 1 '07 shoes for women,baseline,dcg,7.0
air fryer oven,baseline,dcg,0.0
air nike jordan 1,baseline,dcg,7.431244181513954
air pods case panda,baseline,dcg,11.416508275000202
ajax dishwashing liquid,baseline,dcg,17.931244181513954
alienware monitor 34,baseline,dcg,11.416508275000202
all the news not fit to print,baseline,dcg,11.416508275000202
almay for sensitive,baseline,dcg,18.290179460104664
alocane emergency burn gel,baseline,dcg,29.697705396970548
amazon basics spoons plastic,baseline,dcg,14.916508275000202
andis t edger,baseline,dcg,7.0
android tablet cases for kids,baseline,dcg,0.0
angel figurine,baseline,dcg,17.781481608828656
anklet,baseline,dcg,0.0
anova precision cooker,baseline,dcg,13.766726445517211
anti trump lawn sign,baseline,dcg,11.416508275000202
aorus mouse pad,baseline,dcg,14.916508275000202
apex pro,baseline,dcg,4.231707921725317
apple power adapter and lightning cable,baseline,dcg,4.600660279404023
apple watch bands silver,baseline,dcg,2.7079696506417914
army sash,baseline,dcg,5.9165082750002025
art supplies for kids 9-12,baseline,dcg,0.0
art supply trolley,baseline,dcg,7.0
ash brown hair balayage short,baseline,dcg,12.916508275000202
audio bible,baseline,dcg,14.940543302981203
aveeno nourishing cleanser,baseline,dcg,29.483798523211167
baby bows,baseline,dcg,0.0
baby flight bed,baseline,dcg,1.0
baby girl clothes photoshoot,baseline,dcg,0.0
baby girl outfits,baseline,dcg,2.1072099696478683
baby interactive toys 6 to 12 months,baseline,dcg,0.0
baby irish clothes,baseline,dcg,14.916508275000202
baby wall art decals,baseline,dcg,7.0
backlit keycaps,baseline,dcg,11.101043398214475
bag for essential oils,baseline,dcg,17.624477925641994
baking sets nonstick,baseline,dcg,0.0
ball trimmer men,baseline,dcg,0.0
bamboo bath sheet,baseline,dcg,27.674251612745334
bar soap scrub pouch,baseline,dcg,3.0
barbie dolls,baseline,dcg,0.0
barcel,baseline,dcg,16.1326641419119
barcelona jersey long sleeve,baseline,dcg,23.132664141911903
bath & shower safety mats,baseline,dcg,12.832083714271029
bathroom hooks for towels,baseline,dcg,2.493450309756155
bathtub hair catcher,baseline,dcg,2.1072099696478683
bathtub tray,baseline,dcg,0.0
battery powered inverter,baseline,dcg,0.0
bb30 shimano bottom bracket,baseline,dcg,14.916508275000202
bbq grill,baseline,dcg,6.207969650641791
bcaa without artificial sweeteners,baseline,dcg,5.7227055571555425
beanies,baseline,dcg,0.0
bearded dragon light bulbs,baseline,dcg,7.0
beats x wireless earbuds,baseline,dcg,0.0
bed frame with drawers king,baseline,dcg,7.0
bedroom lamp,baseline,dcg,0.0
bedskirts full size,baseline,dcg,4.4165082750002025
beeswax wood polish,baseline,dcg,23.388691578476525
beet chips,baseline,dcg,29.697705396970548
belief without borders,baseline,dcg,7.0
best teacher gifts for christmas,baseline,dcg,4.4165082750002025
between the spark and the burn,baseline,dcg,7.0
bevel skin care men,baseline,dcg,7.0
bibs for baby girl waterproof,baseline,dcg,0.0
big dreams daily joys,baseline,dcg,11.416508275000202
big gym towel,baseline,dcg,0.0
bingo game,baseline,dcg,6.523718244648071
biodegradable wipes,baseline,dcg,9.332732063142096
black and white striped door mat,baseline,dcg,0.0
black bodycon short dress,baseline,dcg,0.0
black dress,baseline,dcg,0.0
black fitflop,baseline,dcg,20.11792823539815
black hub caps,baseline,dcg,0.0
black leather laptop backpack for women,baseline,dcg,22.451261568731482
black plastic ribbon,baseline,dcg,7.0
black shirt womens,baseline,dcg,0.0
blank high security check paper,baseline,dcg,19.03190446091798
blessed not lucky,baseline,dcg,31.804915366618417
blood circulation for feet,baseline,dcg,0.0
blower motor,baseline,dcg,2.1072099696478683
blue bathroom rugs,baseline,dcg,14.431244181513954
blue car bed,baseline,dcg,6.207969650641791
bluetooth headset with microphone,baseline,dcg,2.1072099696478683
bluetooth sunglasses,baseline,dcg,14.630663753873083
body back scalp massager,baseline,dcg,19.74329191808969
bodycon dresses for women,baseline,dcg,0.0
boneco a451,baseline,dcg,27.483798523211167
boogie wipes,baseline,dcg,25.5732074448931
book on dogs for 6 year old,baseline,dcg,0.0
bookbag with wheels,baseline,dcg,4.4165082750002025
bookcase,baseline,dcg,4.130663753873083
bottom bracket tool,baseline,dcg,21.85618584736731
boxed turtle,baseline,dcg,7.0
boy doll clothes 15 inch,baseline,dcg,11.916508275000202
boys gray boat shoes,baseline,dcg,7.0
boys queen size sheets,baseline,dcg,18.951261568731482
boys smart watch,baseline,dcg,2.2082541375001012
bra extender 3 hook for plus size,baseline,dcg,4.4165082750002025
braun series 7 replacement head,baseline,dcg,4.4165082750002025
brayer rollers,baseline,dcg,10.5
broadway shirt,baseline,dcg,21.98126504320054
broom and dustpan,baseline,dcg,14.556323377347185
brown leather sofa pillows,baseline,dcg,12.201419960397946
bts merchandise,baseline,dcg,0.0
bulwark flame resistant jacket,baseline,dcg,29.697705396970548
c7 z06 stage 2,baseline,dcg,31.804915366618417
cabinet knobs,baseline,dcg,3.0147359065137516
cable modem,baseline,dcg,0.0
cake mix,baseline,dcg,0.0
calcium,baseline,dcg,0.0
calily dog shampoo,baseline,dcg,7.0
calming bed for dogs,baseline,dcg,5.0381896907389665
camo short short,baseline,dcg,2.3333333333333335
camper courb,baseline,dcg,31.804915366618417
can am maverick x3 roof,baseline,dcg,31.804915366618417
